NomeComp;percentage20_Donald_Trump;percentage20_Joe_Biden;cases;deaths;TotalPop;IncomePerCap;Poverty;ChildPoverty;Unemployment;population_density_per_sqmi;percent_no_highschool_diploma;percent_age_65_and_older;percent_rural;percent_smokers;percent_adults_with_obesity;percent_physically_inactive;percent_excessive_drinking;life_expectancy;percent_adults_with_diabetes;percent_food_insecure;violent_crime_rate;homicide_rate
Iowa Lucas;0.71;0.277;222;6;8600;27234;9.9;10.3;4.2;202042000000000;8.2;21.6;5624859519;15313481207;31.5;29.6;20243491302;78510097953;17.6;10.5;18440615456;NA
Iowa Lyon;0.833;0.156;600;8;11745;28356;4.9;5.6;2.4;199609000000000;9.4;17;100;14317676523;39;27.3;20798133873;81154892701;15.7;7.3;13383681468;NA
Iowa Madison;0.664;0.32;397;3;15720;31449;7.3;4.6;5.2;279159000000000;5.6;16;67835958926;14640956812;36.8;25.5;22021915134;79281923755;11.7;9.8;11238119702;NA
Iowa Mahaska;0.729;0.254;787;25;22301;26575;14.4;16.7;5.6;391057000000000;8.9;17.1;439479916;16839749533;33.2;26.9;19773596125;79007468358;12.4;12.2;26820437173;NA
Iowa Marion;0.659;0.321;1152;11;33127;27815;9.3;10;3.6;598694000000000;7.1;16.6;48689543367;1502656275;33.7;25.5;20607727534;79170005559;10.5;10.3;2737552073;NA
Iowa Marshall;0.528;0.451;2246;36;40476;25693;11.2;16.5;5.3;711525000000000;15.3;17.3;33925408384;14816550722;34.6;26.6;19681414006;77897274613;11.7;9.4;45205747239;NA
Iowa Mills;0.676;0.303;477;3;14933;31309;9.1;8.4;3.2;339274000000000;6.7;15.6;59572348762;14452349708;32.8;29.8;21150946163;80172005156;6.7;9.3;28657159233;NA
Iowa Mitchell;0.632;0.353;322;1;10663;27407;8.3;10.5;3.6;229295000000000;8.8;21.6;67195619896;15152313692;32;19.6;20676002127;80351574153;7.9;8.9;73561865529;NA
Iowa Monona;0.689;0.298;271;2;8865;26829;14.9;23.5;3.2;129857000000000;9.5;24.5;71199826896;16765591379;37.9;30.8;1825165338;7728480916;14.6;12.8;14270032931;NA
Iowa Monroe;0.728;0.264;280;12;7912;25929;10.9;12.3;5.6;183623000000000;11.9;19;55169385194;17532521829;33.5;26.4;19643221782;76086012251;12.6;10.9;8128048018;NA
